                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4138,                   1.07,                 1.4279,                 0.8247,                0.72865,                0.77556,                0.52847,                 1.2209,                 1.9284,                 1.6066,               0.004555,               0.004555,               0.004555
                     35,                  1.404,                 1.0693,                 1.4293,                0.91959,                0.71652,                0.78284,                0.53122,                 1.2939,                 1.7665,                 1.6663,                0.00439,                0.00439,                0.00439
                     36,                 1.4261,                 1.0738,                 1.4304,                 0.8345,                0.77865,                0.79382,                0.54583,                 1.3026,                 1.6799,                 1.6389,               0.004225,               0.004225,               0.004225
                     37,                 1.4111,                 1.0648,                 1.4308,                0.90939,                 0.7731,                0.82439,                0.57675,                 1.2172,                 1.5703,                 1.5561,                0.00406,                0.00406,                0.00406
                     38,                 1.3964,                 1.0488,                 1.4139,                0.87058,                 0.7239,                  0.791,                 0.5593,                 1.2383,                 1.8395,                 1.5714,               0.003895,               0.003895,               0.003895
                     39,                    1.4,                 1.0364,                 1.4126,                0.88632,                0.74352,                0.78824,                0.55655,                  1.166,                 2.1158,                  1.521,                0.00373,                0.00373,                0.00373
                     40,                 1.3854,                 1.0122,                 1.4013,                0.86646,                 0.6943,                0.75262,                0.52308,                 1.2533,                 2.2445,                 1.6238,               0.003565,               0.003565,               0.003565
                     41,                 1.3954,                  1.024,                 1.4134,                 0.8813,                0.71096,                0.76936,                0.53615,                 1.3483,                 2.0724,                 1.7218,                 0.0034,                 0.0034,                 0.0034
                     42,                 1.3945,                 1.0133,                  1.411,                 0.9044,                0.74327,                0.79504,                0.53972,                 1.3106,                 2.2226,                 1.6182,               0.003235,               0.003235,               0.003235
                     43,                  1.359,                0.98147,                 1.3865,                0.91582,                0.74883,                0.80175,                0.56243,                 1.2358,                 2.0926,                 1.5567,                0.00307,                0.00307,                0.00307
                     44,                 1.3624,                0.98063,                    1.4,                 0.9115,                0.75939,                0.80534,                 0.5679,                 1.2674,                   2.15,                 1.6162,               0.002905,               0.002905,               0.002905
                     45,                 1.3639,                0.98146,                 1.3943,                 0.8986,                0.74532,                0.79517,                0.56016,                 1.2957,                 2.1179,                 1.5765,                0.00274,                0.00274,                0.00274
                     46,                 1.3551,                0.96644,                 1.3766,                0.90125,                0.75088,                0.79994,                0.55638,                 1.2603,                 1.9475,                   1.57,               0.002575,               0.002575,               0.002575
                     47,                 1.3542,                0.95975,                 1.3828,                0.93125,                0.76773,                 0.8108,                0.55507,                 1.1974,                 2.1524,                 1.5099,                0.00241,                0.00241,                0.00241
                     48,                 1.3336,                0.94098,                 1.3747,                0.89368,                0.79079,                0.82171,                0.58787,                 1.2461,                 2.0515,                 1.5752,               0.002245,               0.002245,               0.002245
                     49,                 1.3365,                0.93003,                 1.3724,                0.91602,                0.75541,                0.83073,                0.58254,                 1.1994,                 1.8829,                 1.5184,                0.00208,                0.00208,                0.00208
                     50,                 1.3403,                0.93662,                 1.3724,                0.92586,                0.76176,                0.81644,                0.57948,                 1.2261,                 2.1202,                 1.5811,               0.001915,               0.001915,               0.001915
                     51,                 1.3553,                0.94647,                  1.382,                0.92673,                0.75088,                0.81952,                0.58608,                 1.2452,                 2.0847,                 1.5817,                0.00175,                0.00175,                0.00175
                     52,                 1.3174,                0.90669,                 1.3558,                0.93632,                0.79104,                0.82623,                0.59062,                 1.2323,                 2.0878,                 1.5333,               0.001585,               0.001585,               0.001585
                     53,                 1.3174,                0.91009,                 1.3567,                0.92049,                0.79079,                0.82849,                0.58892,                 1.2179,                 2.2258,                 1.5419,                0.00142,                0.00142,                0.00142
                     54,                 1.3053,                0.89938,                 1.3546,                0.87427,                0.77438,                0.83015,                0.59895,                 1.2302,                 2.1342,                 1.5444,               0.001255,               0.001255,               0.001255
                     55,                 1.3148,                0.88332,                 1.3564,                0.91099,                0.74883,                0.81968,                0.59009,                 1.1876,                 2.4426,                 1.4914,                0.00109,                0.00109,                0.00109
                     56,                 1.2949,                0.87769,                 1.3502,                0.95624,                0.74096,                0.81004,                0.58473,                 1.2154,                 2.0459,                 1.5121,               0.000925,               0.000925,               0.000925
                     57,                 1.2845,                0.86609,                 1.3458,                0.92088,                0.76199,                0.81948,                0.59149,                 1.2423,                 2.0607,                  1.544,                0.00076,                0.00076,                0.00076
                     58,                 1.2795,                0.84846,                 1.3313,                0.94609,                0.74532,                0.81398,                0.58941,                 1.2137,                  2.232,                 1.4952,               0.000595,               0.000595,               0.000595
                     59,                 1.2743,                0.84529,                 1.3397,                0.94051,                0.74532,                0.81627,                0.59091,                 1.2357,                 1.9466,                 1.5276,                0.00043,                0.00043,                0.00043
